user_id,location_pref_str,budget_pref,amenities_pref,property_type_pref_str,travel_frequency_score
0,Hà Nội,1033702.046,"['exterior security cameras on property', 'dedicated workspace', 'waterfront', 'tv với truyền hình cáp tiêu chuẩn']",APARTMENT,1
1,Vietnam,6251589.016,['miễn phí đỗ xe trên đường/phố'],VILLA,0.5
2,Đà Nẵng,548188.8108,['lối ra bãi biển – hướng biển'],HOSTEL,1
3,Hà Nội,1539453.785,"['hướng nhìn ra đường chân trời thành phố', 'chỗ ở có camera an ninh ngoài nhà', 'lối ra bãi biển – hướng biển']",HOTEL,1.5
4,Nha Trang,1255701.387,"['không có máy báo khói', 'không có máy phát hiện khí co']",APARTMENT,0.5
5,Đà Nẵng,8598315.974,"['tầng thượng', 'luggage dropoff allowed', 'chỗ đỗ xe miễn phí tại nơi ở', 'hướng nhìn ra biển']",HOTEL,1
6,Đà Nẵng,1211904.997,"['pool', 'cho phép gửi hành lý', 'lối ra bãi biển – hướng biển']",APARTMENT,1
7,Hà Nội,4683596.142,"['tv với truyền hình cáp tiêu chuẩn', 'city skyline view', 'hair dryer']",APARTMENT,1
8,Đà Nẵng,1542340.825,"['dedicated workspace', 'thang máy', 'lối ra bãi biển – hướng biển', 'tv với truyền hình cáp tiêu chuẩn']",HOSTEL,1.5
9,Hồ Chí Minh,358552.1859,['pool'],APARTMENT,0.5
10,Nha Trang,1081676.932,"['không có máy phát hiện khí co', 'bếp']",APARTMENT,1.5
11,Nha Trang,1220353.624,"['kitchen', 'elevator', 'tv với truyền hình cáp tiêu chuẩn']",HOSTEL,0.5
12,Hà Nội,1233475.953,"['pool', 'bể bơi', 'thang máy', 'hot tub']",VILLA,0.5
13,Nha Trang,420344.7831,"['cho phép gửi hành lý', 'thang máy', 'pets allowed', 'pool']",HOSTEL,1
14,Hồ Chí Minh,8071290.897,"['luggage dropoff allowed', 'thang máy', 'bể bơi']",APARTMENT,1
15,Nha Trang,13565729.45,"['mở cửa theo giờ giấc cụ thể', 'không có máy phát hiện khí co', 'wi-fi']",APARTMENT,1
16,Hồ Chí Minh,1320791.497,"['cho phép thú cưng', 'exterior security cameras on property', 'lock on bedroom door', 'pets allowed']",VILLA,0.5
17,Đà Nẵng,634080.2269,"['lock on bedroom door', 'elevator', 'không có máy phát hiện khí co']",APARTMENT,1.5
18,Hồ Chí Minh,636881.2429,"['máy giặt', 'miễn phí đỗ xe trên đường/phố']",APARTMENT,0.5
19,Hồ Chí Minh,339493.7858,"['không có máy phát hiện khí co', 'tv', 'lối ra bãi biển – hướng biển']",APARTMENT,1.5
20,Hồ Chí Minh,1096370.633,"['lối ra bãi biển – hướng biển', 'chỗ đỗ xe miễn phí tại nơi ở', 'cho phép thú cưng', 'mở cửa theo giờ giấc cụ thể']",APARTMENT,1
21,Hồ Chí Minh,323272.2537,"['cho phép gửi hành lý', 'wifi', 'pool']",HOTEL,0.5
22,Nha Trang,1076565.614,"['máy sấy tóc', 'city skyline view', 'pool', 'free parking on premises']",APARTMENT,1.5
23,Hồ Chí Minh,976746.9703,['city skyline view'],APARTMENT,1
24,Nha Trang,644933.262,['cho phép thú cưng'],APARTMENT,1
25,Hồ Chí Minh,1447213.304,"['tầng thượng', 'hướng nhìn ra biển', 'air conditioning', 'cho phép gửi hành lý']",HOTEL,1
26,Hà Nội,7874519.44,['elevator'],HOSTEL,1.5
27,Nha Trang,5063026.618,"['air conditioning', 'cho phép gửi hành lý', 'lake access', 'không gian riêng để làm việc', 'luggage dropoff allowed']",VILLA,1
28,Đà Nẵng,616339.7263,"['thang máy', 'bể bơi', 'air conditioning']",APARTMENT,1.5
29,Đà Nẵng,2789075.658,"['thang máy', 'tv', 'không có máy phát hiện khí co']",APARTMENT,1
30,Hồ Chí Minh,787951.4038,"['exterior security cameras on property', 'hướng nhìn ra đường chân trời thành phố']",HOTEL,1
31,Nha Trang,1169642.588,"['dedicated workspace', 'hot tub', 'tầng thượng', 'không gian riêng để làm việc']",APARTMENT,0.5
32,Hồ Chí Minh,8863946.393,"['hướng nhìn ra biển', 'exterior security cameras on property', 'free parking on premises']",HOTEL,1
33,Hồ Chí Minh,438392.8951,"['cho phép thú cưng', 'chỗ đỗ xe miễn phí tại nơi ở', 'hot tub', 'luggage dropoff allowed']",APARTMENT,1.5
34,Hà Nội,516464.3228,['không có máy phát hiện khí co'],VILLA,1
35,Hồ Chí Minh,1491872.969,"['wifi', 'pets allowed', 'không có máy phát hiện khí co']",HOTEL,0.5
36,Hồ Chí Minh,753703.2783,"['hair dryer', 'mở cửa theo giờ giấc cụ thể', 'bếp', 'máy sấy tóc']",APARTMENT,1
37,Hà Nội,627116.7437,"['hồ bơi chung ngoài trời – có sẵn hoặc phục vụ quanh năm', 'tv', 'điều hòa nhiệt độ', 'luggage dropoff allowed']",APARTMENT,0.5
38,Vietnam,654713.7793,"['cho phép thú cưng', 'pets allowed', 'điều hòa nhiệt độ', 'hồ bơi chung ngoài trời – có sẵn hoặc phục vụ quanh năm']",APARTMENT,1.5
39,Nha Trang,8508989.735,"['mở cửa theo giờ giấc cụ thể', 'máy sấy tóc']",HOSTEL,1
40,Nha Trang,978414.9594,"['không gian riêng để làm việc', 'mở cửa theo giờ giấc cụ thể', 'washer', 'thang máy', 'máy giặt']",APARTMENT,0.5
41,Đà Nẵng,1332640.084,['máy giặt'],HOTEL,1
42,Đà Nẵng,5496004.179,"['wi-fi', 'free parking on premises', 'hair dryer', 'pets allowed']",HOTEL,1
43,Hà Nội,8342480.522,"['mở cửa theo giờ giấc cụ thể', 'hướng nhìn ra đường chân trời thành phố']",APARTMENT,1
44,Nha Trang,6980665.375,"['cho phép gửi hành lý', 'hướng nhìn ra biển', 'air conditioning']",HOSTEL,1
45,Hà Nội,521493.8768,"['không có máy báo khói', 'không gian riêng để làm việc', 'free parking on premises']",HOSTEL,0.5
46,Đà Nẵng,402302.8452,['dedicated workspace'],HOSTEL,0.5
47,Đà Nẵng,671955.2686,"['miễn phí đỗ xe trên đường/phố', 'chỗ đỗ xe miễn phí tại nơi ở']",APARTMENT,0.5
48,Nha Trang,13802499.89,"['cho phép thú cưng', 'lock on bedroom door', 'wifi', 'washer', 'tầng thượng']",APARTMENT,0.5
49,Đà Nẵng,10859478.68,"['hot tub', 'kitchen', 'hướng nhìn ra đường chân trời thành phố', 'cho phép thú cưng', 'hướng nhìn ra biển']",HOTEL,1.5
50,Nha Trang,8814321.058,"['wi-fi', 'lake access']",HOSTEL,0.5
51,Đà Nẵng,527752.4627,"['hướng nhìn ra biển', 'không có máy phát hiện khí co', 'tv']",HOTEL,0.5
52,Đà Nẵng,385346.5142,"['bể bơi', 'city skyline view', 'exterior security cameras on property', 'washer']",APARTMENT,1.5
53,Hà Nội,1279417.711,"['thang máy', 'cho phép gửi hành lý', 'hướng nhìn ra đường chân trời thành phố', 'pets allowed', 'tv với truyền hình cáp tiêu chuẩn']",APARTMENT,0.5
