user_id,location_pref_str,budget_pref,amenities_pref,property_type_pref_str,travel_frequency_score
0,Hà Nội,1563071.935482946,"['bể bơi', 'lake access', 'wifi', 'không có máy phát hiện khí co']",APARTMENT,1.0
1,Hồ Chí Minh,720456.6506792661,"['hướng nhìn ra biển', 'air conditioning', 'không gian riêng để làm việc', 'lake access']",APARTMENT,1.0
2,Nha Trang,907987.4494530137,"['máy sấy tóc', 'mở cửa theo giờ giấc cụ thể']",APARTMENT,0.5
3,Đà Nẵng,1563441.174434822,['cho phép thú cưng'],APARTMENT,1.0
4,Hồ Chí Minh,9087046.586725771,"['elevator', 'wifi']",HOSTEL,1.0
5,Nha Trang,660751.0258186809,"['chỗ ở có camera an ninh ngoài nhà', 'waterfront', 'chỗ đỗ xe miễn phí tại nơi ở', 'hồ bơi chung ngoài trời – có sẵn hoặc phục vụ quanh năm']",APARTMENT,1.0
6,Hồ Chí Minh,1218608.3016791423,"['lock on bedroom door', 'dedicated workspace', 'bể bơi', 'máy sấy tóc', 'không có máy báo khói']",APARTMENT,0.5
7,Hồ Chí Minh,628146.542386918,"['free parking on premises', 'tv', 'chỗ đỗ xe miễn phí tại nơi ở']",APARTMENT,1.0
8,Hồ Chí Minh,667964.731041617,"['hồ bơi chung ngoài trời – có sẵn hoặc phục vụ quanh năm', 'tv với truyền hình cáp tiêu chuẩn']",APARTMENT,0.5
9,Đà Nẵng,5931009.137265338,"['lake access', 'hướng nhìn ra đường chân trời thành phố', 'luggage dropoff allowed', 'lock on bedroom door', 'chỗ đỗ xe miễn phí tại nơi ở']",HOSTEL,1.0
10,Nha Trang,582524.9181801683,"['hướng nhìn ra biển', 'pets allowed', 'lối ra bãi biển – hướng biển']",APARTMENT,1.0
11,Nha Trang,455949.5314699791,"['hồ bơi chung ngoài trời – có sẵn hoặc phục vụ quanh năm', 'hướng nhìn ra biển']",APARTMENT,1.5
12,Nha Trang,1271001.2843452268,['chỗ đỗ xe miễn phí tại nơi ở'],APARTMENT,1.0
13,Hồ Chí Minh,332430.381646892,"['cho phép thú cưng', 'pets allowed']",APARTMENT,1.5
14,Nha Trang,1433312.6334951427,"['máy giặt', 'air conditioning', 'hướng nhìn ra đường chân trời thành phố', 'elevator']",APARTMENT,1.0
15,Nha Trang,379405.8467868894,['chỗ đỗ xe miễn phí tại nơi ở'],APARTMENT,0.5
16,Hà Nội,643629.4127923463,['không gian riêng để làm việc'],HOTEL,1.0
17,Đà Nẵng,10867662.970291851,"['tầng thượng', 'lake access', 'máy giặt', 'air conditioning']",APARTMENT,1.0
18,Hà Nội,1114388.3889275102,"['máy giặt', 'washer', 'máy sấy tóc']",APARTMENT,1.0
19,Nha Trang,10800411.603506386,"['chỗ đỗ xe miễn phí tại nơi ở', 'hot tub', 'wifi', 'hướng nhìn ra biển', 'hồ bơi chung ngoài trời – có sẵn hoặc phục vụ quanh năm']",HOSTEL,1.5
20,Hà Nội,665494.92454033,['không có máy phát hiện khí co'],APARTMENT,1.5
21,Hà Nội,779256.4647196949,"['cho phép gửi hành lý', 'tv với truyền hình cáp tiêu chuẩn', 'không có máy báo khói', 'tầng thượng']",APARTMENT,1.0
22,Hà Nội,575216.2208550132,['hair dryer'],APARTMENT,1.5
23,Đà Nẵng,3460302.848449559,['mở cửa theo giờ giấc cụ thể'],APARTMENT,1.0
24,Hội An,894549.743075687,"['điều hòa nhiệt độ', 'waterfront', 'luggage dropoff allowed', 'air conditioning', 'lock on bedroom door']",APARTMENT,1.0
25,Nha Trang,1009822.5975647779,"['thang máy', 'luggage dropoff allowed']",APARTMENT,1.5
26,Nha Trang,6572570.059103748,"['lock on bedroom door', 'máy sấy tóc', 'hot tub', 'washer']",APARTMENT,1.0
27,Hồ Chí Minh,12434013.287087746,"['thang máy', 'máy sấy tóc']",APARTMENT,1.0
28,Hà Nội,453545.10935420473,"['bể bơi', 'city skyline view']",APARTMENT,1.0
29,Nha Trang,663125.8125867001,"['elevator', 'air conditioning', 'mở cửa theo giờ giấc cụ thể', 'waterfront', 'thang máy']",APARTMENT,0.5
30,Nha Trang,3146982.9673890322,"['wi-fi', 'pool']",APARTMENT,0.5
31,Hà Nội,10426857.620069599,['máy giặt'],APARTMENT,0.5
32,Hồ Chí Minh,1526346.5078295488,"['máy giặt', 'washer']",HOSTEL,1.5
33,Nha Trang,320437.117275278,"['hair dryer', 'hot tub', 'lock on bedroom door', 'hồ bơi chung ngoài trời – có sẵn hoặc phục vụ quanh năm']",HOSTEL,1.5
34,Hồ Chí Minh,9229133.872963011,"['city skyline view', 'cho phép thú cưng', 'free parking on premises', 'không có máy phát hiện khí co', 'waterfront']",APARTMENT,1.5
35,Hà Nội,490422.7206108768,"['cho phép gửi hành lý', 'city skyline view', 'elevator', 'cho phép thú cưng', 'hướng nhìn ra đường chân trời thành phố']",APARTMENT,1.5
36,Hồ Chí Minh,949408.6298080934,['washer'],APARTMENT,1.5
37,Hồ Chí Minh,1512286.895338351,['điều hòa nhiệt độ'],APARTMENT,1.0
38,Đà Nẵng,7569506.711492922,"['hot tub', 'pets allowed', 'mở cửa theo giờ giấc cụ thể', 'wifi']",HOTEL,1.0
39,Hà Nội,1053424.2014419446,"['dedicated workspace', 'hot tub', 'air conditioning', 'thang máy']",HOSTEL,1.5
40,Hà Nội,1256981.9238612596,"['máy sấy tóc', 'waterfront']",APARTMENT,1.5
41,Đà Nẵng,462237.46904948296,"['free parking on premises', 'luggage dropoff allowed']",APARTMENT,1.0
42,Hồ Chí Minh,8152395.603320071,['lake access'],HOSTEL,1.0
43,Đà Nẵng,1322717.9674965474,"['lake access', 'city skyline view']",HOSTEL,1.5
44,Hồ Chí Minh,10170459.447402582,['mở cửa theo giờ giấc cụ thể'],HOSTEL,1.5
45,Đà Nẵng,1126257.9462781297,"['điều hòa nhiệt độ', 'exterior security cameras on property']",APARTMENT,1.0
46,Hồ Chí Minh,1474502.9473454957,"['chỗ đỗ xe miễn phí tại nơi ở', 'tầng thượng']",APARTMENT,0.5
47,Hồ Chí Minh,367734.17905087455,"['điều hòa nhiệt độ', 'pool']",HOSTEL,1.5
48,Đà Nẵng,397794.3833202826,"['lake access', 'chỗ đỗ xe miễn phí tại nơi ở', 'không có máy báo khói', 'tv với truyền hình cáp tiêu chuẩn']",APARTMENT,1.0
49,Hồ Chí Minh,445990.0404619735,"['pets allowed', 'air conditioning', 'lake access', 'city skyline view', 'thang máy']",HOSTEL,1.5
50,Hồ Chí Minh,7759129.959314432,"['free parking on premises', 'hướng nhìn ra đường chân trời thành phố', 'elevator', 'pets allowed', 'cho phép gửi hành lý']",APARTMENT,1.0
51,Nha Trang,631457.27636636,['waterfront'],APARTMENT,1.0
52,Nha Trang,382447.02015449404,"['lock on bedroom door', 'hướng nhìn ra biển']",VILLA,1.0
53,Đà Nẵng,686242.9914139715,"['không có máy báo khói', 'cho phép thú cưng', 'free parking on premises']",APARTMENT,0.5
54,Hồ Chí Minh,1379125.7293732313,"['wifi', 'dedicated workspace', 'bếp']",VILLA,1.0
55,Đà Nẵng,1339406.7539744528,"['tầng thượng', 'mở cửa theo giờ giấc cụ thể', 'elevator', 'wifi']",APARTMENT,1.0
56,Hồ Chí Minh,8944747.696934696,"['không có máy phát hiện khí co', 'pets allowed']",APARTMENT,1.5
57,Đà Nẵng,476345.2677382807,['lối ra bãi biển – hướng biển'],HOTEL,1.0
58,Đà Nẵng,6666056.712159473,"['kitchen', 'washer', 'hot tub', 'máy sấy tóc']",APARTMENT,0.5
59,Hồ Chí Minh,1043086.0698742227,"['không gian riêng để làm việc', 'wifi', 'pool', 'chỗ ở có camera an ninh ngoài nhà']",APARTMENT,1.5
60,Đà Nẵng,3713608.949462791,"['wi-fi', 'city skyline view', 'dedicated workspace', 'tv với truyền hình cáp tiêu chuẩn']",APARTMENT,0.5
61,Nha Trang,654438.5263098818,"['waterfront', 'washer', 'free parking on premises']",APARTMENT,1.0
62,Nha Trang,1464344.7078893157,"['wifi', 'không gian riêng để làm việc', 'luggage dropoff allowed', 'hướng nhìn ra biển', 'điều hòa nhiệt độ']",APARTMENT,1.0
